tanggal,jumlah_pasien,is_weekend,is_imlek,is_idulfitri,is_idulfitri_sec,is_iduladha,is_waisak,is_natal,is_nyepi,is_libur_nasional,lag_1,lag_7,lag_14,lag_21,lag_30
2023-01-31,70,0,0,0,0,0,0,0,0,0,69,91,94,93,13
2023-02-01,77,0,0,0,0,0,0,0,0,0,70,69,89,98,37
2023-02-02,69,0,0,0,0,0,0,0,0,0,77,68,79,91,62
2023-02-03,78,0,0,0,0,0,0,0,0,0,69,71,84,82,74
2023-02-04,79,1,0,0,0,0,0,0,0,0,78,57,80,77,86
2023-02-05,93,1,0,0,0,0,0,0,0,0,79,58,87,73,90
2023-02-06,113,0,0,0,0,0,0,0,0,0,93,69,88,93,85
2023-02-07,105,0,0,0,0,0,0,0,0,0,113,70,91,94,78
2023-02-08,91,0,0,0,0,0,0,0,0,0,105,77,69,89,103
2023-02-09,86,0,0,0,0,0,0,0,0,0,91,69,68,79,93
2023-02-10,91,0,0,0,0,0,0,0,0,0,86,78,71,84,98
2023-02-11,74,1,0,0,0,0,0,0,0,0,91,79,57,80,91
2023-02-12,62,1,0,0,0,0,0,0,0,0,74,93,58,87,82
2023-02-13,78,0,0,0,0,0,0,0,0,0,62,113,69,88,77
2023-02-14,73,0,0,0,0,0,0,0,0,0,78,105,70,91,73
2023-02-15,71,0,0,0,0,0,0,0,0,0,73,91,77,69,93
2023-02-16,64,0,0,0,0,0,0,0,0,0,71,86,69,68,94
2023-02-17,74,0,0,0,0,0,0,0,0,0,64,91,78,71,89
2023-02-18,60,1,0,0,0,0,0,0,0,1,74,74,79,57,79
2023-02-19,71,1,0,0,0,0,0,0,0,0,60,62,93,58,84
2023-02-20,84,0,0,0,0,0,0,0,0,0,71,78,113,69,80
2023-02-21,83,0,0,0,0,0,0,0,0,0,84,73,105,70,87
2023-02-22,92,0,0,0,0,0,0,0,0,0,83,71,91,77,88
2023-02-23,84,0,0,0,0,0,0,0,0,0,92,64,86,69,91
2023-02-24,78,0,0,0,0,0,0,0,0,0,84,74,91,78,69
2023-02-25,72,1,0,0,0,0,0,0,0,0,78,60,74,79,68
2023-02-26,55,1,0,0,0,0,0,0,0,0,72,71,62,93,71
2023-02-27,62,0,0,0,0,0,0,0,0,0,55,84,78,113,57
2023-02-28,60,0,0,0,0,0,0,0,0,0,62,83,73,105,58
2023-03-01,74,0,0,0,0,0,0,0,0,0,60,92,71,91,69
2023-03-02,65,0,0,0,0,0,0,0,0,0,74,84,64,86,70
2023-03-03,75,0,0,0,0,0,0,0,0,0,65,78,74,91,77
2023-03-04,79,1,0,0,0,0,0,0,0,0,75,72,60,74,69
2023-03-05,69,1,0,0,0,0,0,0,0,0,79,55,71,62,78
2023-03-06,92,0,0,0,0,0,0,0,0,0,69,62,84,78,79
2023-03-07,87,0,0,0,0,0,0,0,0,0,92,60,83,73,93
2023-03-08,81,0,0,0,0,0,0,0,0,0,87,74,92,71,113
2023-03-09,74,0,0,0,0,0,0,0,0,0,81,65,84,64,105
2023-03-10,69,0,0,0,0,0,0,0,0,0,74,75,78,74,91
2023-03-11,67,1,0,0,0,0,0,0,0,0,69,79,72,60,86
2023-03-12,57,1,0,0,0,0,0,0,0,0,67,69,55,71,91
2023-03-13,70,0,0,0,0,0,0,0,0,0,57,92,62,84,74
2023-03-14,64,0,0,0,0,0,0,0,0,0,70,87,60,83,62
2023-03-15,68,0,0,0,0,0,0,0,1,0,64,81,74,92,78
2023-03-16,62,0,0,0,0,0,0,0,1,0,68,74,65,84,73
2023-03-17,66,0,0,0,0,0,0,0,1,0,62,69,75,78,71
2023-03-18,55,1,0,0,0,0,0,0,1,0,66,67,79,72,64
2023-03-19,41,1,0,0,0,0,0,0,1,0,55,57,69,55,74
2023-03-20,62,0,0,0,0,0,0,0,1,0,41,70,92,62,60
2023-03-21,68,0,0,0,0,0,0,0,1,0,62,64,87,60,71
2023-03-22,61,0,0,0,0,0,0,0,1,1,68,68,81,74,84
2023-03-23,48,0,0,0,0,0,0,0,1,0,61,62,74,65,83
2023-03-24,53,0,0,0,0,0,0,0,1,0,48,66,69,75,92
2023-03-25,56,1,0,0,0,0,0,0,1,0,53,55,67,79,84
2023-03-26,59,1,0,0,0,0,0,0,1,0,56,41,57,69,78
2023-03-27,66,0,0,0,0,0,0,0,1,0,59,62,70,92,72
2023-03-28,64,0,0,0,0,0,0,0,1,0,66,68,64,87,55
2023-03-29,67,0,0,0,0,0,0,0,1,0,64,61,68,81,62
2023-03-30,64,0,0,0,0,0,0,0,0,0,67,48,62,74,60
2023-03-31,65,0,0,0,0,0,0,0,0,0,64,53,66,69,74
2023-04-01,62,1,0,0,0,0,0,0,0,0,65,56,55,67,65
2023-04-02,53,1,0,0,0,0,0,0,0,0,62,59,41,57,75
2023-04-03,67,0,0,0,0,0,0,0,0,0,53,66,62,70,79
2023-04-04,69,0,0,0,0,0,0,0,0,0,67,64,68,64,69
2023-04-05,62,0,0,0,0,0,0,0,0,0,69,67,61,68,92
2023-04-06,62,0,0,0,0,0,0,0,0,0,62,64,48,62,87
2023-04-07,56,0,0,0,0,0,0,0,0,1,62,65,53,66,81
2023-04-08,60,1,0,0,0,0,0,0,0,0,56,62,56,55,74
2023-04-09,55,1,0,0,0,0,0,0,0,0,60,53,59,41,69
2023-04-10,72,0,0,0,0,0,0,0,0,0,55,67,66,62,67
2023-04-11,69,0,0,0,0,0,0,0,0,0,72,69,64,68,57
2023-04-12,61,0,0,0,0,0,0,0,0,0,69,62,67,61,70
2023-04-13,60,0,0,0,0,0,0,0,0,0,61,62,64,48,64
2023-04-14,60,0,0,0,0,0,0,0,0,0,60,56,65,53,68
2023-04-15,62,1,0,1,0,0,0,0,0,0,60,60,62,56,62
2023-04-16,55,1,0,1,1,0,0,0,0,0,62,55,53,59,66
2023-04-17,57,0,0,1,1,0,0,0,0,0,55,72,67,66,55
2023-04-18,48,0,0,1,1,0,0,0,0,0,57,69,69,64,41
2023-04-19,44,0,0,1,1,0,0,0,0,0,48,61,62,67,62
2023-04-20,46,0,0,1,1,0,0,0,0,0,44,60,62,64,68
2023-04-21,35,0,0,1,1,0,0,0,0,0,46,60,56,65,61
2023-04-22,30,1,0,1,1,0,0,0,0,1,35,62,60,62,48
2023-04-23,33,1,0,1,1,0,0,0,0,1,30,55,55,53,53
2023-04-24,41,0,0,1,1,0,0,0,0,0,33,57,72,67,56
2023-04-25,49,0,0,1,1,0,0,0,0,0,41,48,69,69,59
2023-04-26,62,0,0,1,1,0,0,0,0,0,49,44,61,62,66
2023-04-27,76,0,0,1,1,0,0,0,0,0,62,46,60,62,64
2023-04-28,81,0,0,1,1,0,0,0,0,0,76,35,60,56,67
2023-04-29,73,1,0,1,1,0,0,0,0,0,81,30,62,60,64
2023-04-30,63,1,0,0,1,0,0,0,0,0,73,33,55,55,65
2023-05-01,76,0,0,0,0,0,0,0,0,1,63,41,57,72,62
2023-05-02,69,0,0,0,0,0,0,0,0,0,76,49,48,69,53
2023-05-03,88,0,0,0,0,0,0,0,0,0,69,62,44,61,67
2023-05-04,87,0,0,0,0,0,0,0,0,0,88,76,46,60,69
2023-05-05,72,0,0,0,0,0,0,0,0,0,87,81,35,60,62
2023-05-06,71,1,0,0,0,0,0,0,0,0,72,73,30,62,62
2023-05-07,54,1,0,0,0,0,0,0,0,0,71,63,33,55,56
2023-05-08,72,0,0,0,0,0,0,0,0,0,54,76,41,57,60
2023-05-09,76,0,0,0,0,0,0,0,0,0,72,69,49,48,55
2023-05-10,82,0,0,0,0,0,0,0,0,0,76,88,62,44,72
2023-05-11,78,0,0,0,0,0,0,0,0,0,82,87,76,46,69
2023-05-12,81,0,0,0,0,0,0,0,0,0,78,72,81,35,61
2023-05-13,75,1,0,0,0,0,0,0,0,0,81,71,73,30,60
2023-05-14,80,1,0,0,0,0,0,0,0,0,75,54,63,33,60
2023-05-15,93,0,0,0,0,0,0,0,0,0,80,72,76,41,62
2023-05-16,100,0,0,0,0,0,0,0,0,0,93,76,69,49,55
2023-05-17,90,0,0,0,0,0,0,0,0,0,100,82,88,62,57
2023-05-18,66,0,0,0,0,0,0,0,0,1,90,78,87,76,48
2023-05-19,75,0,0,0,0,0,0,0,0,0,66,81,72,81,44
2023-05-20,53,1,0,0,0,0,0,0,0,0,75,75,71,73,46
2023-05-21,53,1,0,0,0,0,0,0,0,0,53,80,54,63,35
2023-05-22,66,0,0,0,0,0,0,0,0,0,53,93,72,76,30
2023-05-23,84,0,0,0,0,0,0,0,0,0,66,100,76,69,33
2023-05-24,94,0,0,0,0,0,0,0,0,0,84,90,82,88,41
2023-05-25,84,0,0,0,0,0,0,0,0,0,94,66,78,87,49
2023-05-26,87,0,0,0,0,0,0,0,0,0,84,75,81,72,62
2023-05-27,70,1,0,0,0,0,0,0,0,0,87,53,75,71,76
2023-05-28,67,1,0,0,0,0,1,0,0,0,70,53,80,54,81
2023-05-29,88,0,0,0,0,0,1,0,0,0,67,66,93,72,73
2023-05-30,94,0,0,0,0,0,1,0,0,0,88,84,100,76,63
2023-05-31,76,0,0,0,0,0,1,0,0,0,94,94,90,82,76
2023-06-01,70,0,0,0,0,0,1,0,0,1,76,84,66,78,69
2023-06-02,75,0,0,0,0,0,1,0,0,0,70,87,75,81,88
2023-06-03,72,1,0,0,0,0,1,0,0,0,75,70,53,75,87
2023-06-04,65,1,0,0,0,0,1,0,0,1,72,67,53,80,72
2023-06-05,85,0,0,0,0,0,1,0,0,0,65,88,66,93,71
2023-06-06,85,0,0,0,0,0,1,0,0,0,85,94,84,100,54
2023-06-07,93,0,0,0,0,0,1,0,0,0,85,76,94,90,72
2023-06-08,90,0,0,0,0,0,1,0,0,0,93,70,84,66,76
2023-06-09,84,0,0,0,0,0,1,0,0,0,90,75,87,75,82
2023-06-10,82,1,0,0,0,0,1,0,0,0,84,72,70,53,78
2023-06-11,82,1,0,0,0,0,1,0,0,0,82,65,67,53,81
2023-06-12,99,0,0,0,0,0,0,0,0,0,82,85,88,66,75
2023-06-13,100,0,0,0,0,0,0,0,0,0,99,85,94,84,80
2023-06-14,93,0,0,0,0,0,0,0,0,0,100,93,76,94,93
2023-06-15,71,0,0,0,0,0,0,0,0,0,93,90,70,84,100
2023-06-16,71,0,0,0,0,0,0,0,0,0,71,84,75,87,90
2023-06-17,62,1,0,0,0,0,0,0,0,0,71,82,72,70,66
2023-06-18,60,1,0,0,0,0,0,0,0,0,62,82,65,67,75
2023-06-19,82,0,0,0,0,0,0,0,0,0,60,99,85,88,53
2023-06-20,72,0,0,0,0,0,0,0,0,0,82,100,85,94,53
2023-06-21,81,0,0,0,0,0,0,0,0,0,72,93,93,76,66
2023-06-22,75,0,0,0,0,1,0,0,0,0,81,71,90,70,84
2023-06-23,62,0,0,0,0,1,0,0,0,0,75,71,84,75,94
2023-06-24,64,1,0,0,0,1,0,0,0,0,62,62,82,72,84
2023-06-25,65,1,0,0,0,1,0,0,0,0,64,60,82,65,87
2023-06-26,85,0,0,0,0,1,0,0,0,0,65,82,99,85,70
2023-06-27,71,0,0,0,0,1,0,0,0,0,85,72,100,85,67
2023-06-28,55,0,0,0,0,1,0,0,0,0,71,81,93,93,88
2023-06-29,48,0,0,0,0,1,0,0,0,1,55,75,71,90,94
2023-06-30,51,0,0,0,0,1,0,0,0,0,48,62,71,84,76
2023-07-01,56,1,0,0,0,1,0,0,0,0,51,64,62,82,70
2023-07-02,60,1,0,0,0,1,0,0,0,0,56,65,60,82,75
2023-07-03,81,0,0,0,0,1,0,0,0,0,60,85,82,99,72
2023-07-04,79,0,0,0,0,1,0,0,0,0,81,71,72,100,65
2023-07-05,76,0,0,0,0,1,0,0,0,0,79,55,81,93,85
2023-07-06,69,0,0,0,0,1,0,0,0,0,76,48,75,71,85
2023-07-07,64,0,0,0,0,0,0,0,0,0,69,51,62,71,93
